id,semana,cuenta,fecha,dia,hora,pilar,tema,formato,cta,link_utm,estado
2026-W40-ON-1,1,Olmué Natura,2026-09-28,lun,12:30,Oferta corporativa,"Día de Bienestar para equipos de 20 a 60 personas: 3 comidas, piscina temperada y salón",Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W40-ON-1,Planificado
2026-W40-Aldo-1,1,Aldo,2026-09-29,mar,08:00,Datos del mercado,33 cotizaciones en 6 semanas: qué piden las empresas cuando buscan una jornada fuera de la oficina,Texto + gráfico simple,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W40-Aldo-1,Planificado
2026-W40-Aldo-2,1,Aldo,2026-09-30,mié,08:00,IA aplicada,El asistente virtual que responde consultas del lodge a las 23:00: qué contesta bien y qué no,Texto + captura,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W40-Aldo-2,Planificado
2026-W40-TV-1,1,Terra Viva,2026-09-30,mié,12:30,Fiestas corporativas,Fiesta de fin de año con show: salón de 320 m² y terraza de 450 m² para 100 a 150 personas,Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W40-TV-1,Planificado
2026-W40-Aldo-3,1,Aldo,2026-10-01,jue,08:00,Del aula a la operación,Lo que enseño sobre calidad de servicio el jueves y lo que pasa en el lodge el sábado,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W40-Aldo-3,Planificado
2026-W40-ON-2,1,Olmué Natura,2026-10-01,jue,12:30,Guías,Carrusel: checklist para organizar una jornada de bienestar para tu equipo,Carrusel PDF,Comenta GUÍA,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W40-ON-2,Planificado
2026-W41-ON-1,2,Olmué Natura,2026-10-05,lun,12:30,Fechas,"Día del Profesor (16 oct): jornada para docentes con desayuno, almuerzo, once y piscina",Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W41-ON-1,Planificado
2026-W41-Aldo-1,2,Aldo,2026-10-06,mar,08:00,Entretenimiento,Por qué el stand-up vende más entradas que un tributo en Terra Viva,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W41-Aldo-1,Planificado
2026-W41-Aldo-2,2,Aldo,2026-10-07,mié,08:00,IA aplicada,Cómo armé una base de leads que me avisa por correo en menos de un minuto,Carrusel PDF,Comenta FLUJO,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W41-Aldo-2,Planificado
2026-W41-TV-1,2,Terra Viva,2026-10-07,mié,12:30,Producción B2B,"Cómo funciona una cartelera producida por terceros en un hotel: roles, riesgo e ingresos",Carrusel PDF,Mensaje directo,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W41-TV-1,Planificado
2026-W41-Aldo-3,2,Aldo,2026-10-08,jue,08:00,Datos del mercado,Las empresas cotizan con 4 a 10 semanas de anticipación: el fin de año se vende en octubre,Texto,CTA suave comercial,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W41-Aldo-3,Planificado
2026-W41-ON-2,2,Olmué Natura,2026-10-08,jue,12:30,Detrás de escena,La cocina preparando un almuerzo para 60 personas,Video vertical 30 s,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W41-ON-2,Planificado
2026-W42-ON-1,3,Olmué Natura,2026-10-12,lun,12:30,Guías,"Cómo cotizar una jornada con fondos públicos: documentos, plazos y orden de compra",Carrusel PDF,Comenta GUÍA,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W42-ON-1,Planificado
2026-W42-Aldo-1,3,Aldo,2026-10-13,mar,08:00,Entretenimiento,Temporada baja: cómo un show llena habitaciones un sábado de invierno,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W42-Aldo-1,Planificado
2026-W42-Aldo-2,3,Aldo,2026-10-14,mié,08:00,IA aplicada,Lo que nunca le delegaría a una IA en un hotel,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W42-Aldo-2,Planificado
2026-W42-TV-1,3,Terra Viva,2026-10-14,mié,12:30,Fiestas corporativas,"Cena + stand-up para tu empresa: formato, horarios y logística",Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W42-TV-1,Planificado
2026-W42-Aldo-3,3,Aldo,2026-10-15,jue,08:00,Del aula a la operación,Qué preguntan mis estudiantes de hotelería sobre IA (y qué les respondo),Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W42-Aldo-3,Planificado
2026-W42-ON-2,3,Olmué Natura,2026-10-15,jue,12:30,Oferta corporativa,Team building con una noche: qué cambia cuando el equipo duerme fuera,Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W42-ON-2,Planificado
2026-W43-ON-1,4,Olmué Natura,2026-10-19,lun,12:30,Oferta corporativa,Grupos de 60 a 150 personas: salón del lodge + Terra Viva en el mismo predio,Texto + 2 fotos,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W43-ON-1,Planificado
2026-W43-Aldo-1,4,Aldo,2026-10-20,mar,08:00,Datos del mercado,Encuesta: ¿cuándo planifica tu empresa la jornada de fin de año?,Encuesta,Votar,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W43-Aldo-1,Planificado
2026-W43-Aldo-2,4,Aldo,2026-10-21,mié,08:00,Entretenimiento,Modelo multi-venue: contratar un artista para 3 recintos baja el costo por show,Carrusel PDF,Mensaje directo,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W43-Aldo-2,Planificado
2026-W43-TV-1,4,Terra Viva,2026-10-21,mié,12:30,Prueba social,"Cartelera de octubre en números: shows, entradas vendidas y público",Texto + foto de público,Link cartelera Passline,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W43-TV-1,Planificado
2026-W43-Aldo-3,4,Aldo,2026-10-22,jue,08:00,Gestión,El día que reprogramamos una banda por un error de agenda y cómo compensamos al público,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W43-Aldo-3,Planificado
2026-W43-ON-2,4,Olmué Natura,2026-10-22,jue,12:30,Oferta corporativa,"Piscina temperada, sauna y masajes como parte de la jornada de equipo",Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W43-ON-2,Planificado
2026-W44-ON-1,5,Olmué Natura,2026-10-26,lun,12:30,Fechas,Quedan fechas en noviembre y diciembre para cierres de año,Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W44-ON-1,Planificado
2026-W44-Aldo-1,5,Aldo,2026-10-27,mar,08:00,Datos del mercado,5 preguntas que hay que hacerle a un lugar antes de reservar una jornada de equipo,Carrusel PDF,Comenta GUÍA,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W44-Aldo-1,Planificado
2026-W44-Aldo-2,5,Aldo,2026-10-28,mié,08:00,IA aplicada,"Cuánto tiempo me ahorran las automatizaciones cada semana, con números",Texto + tabla,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W44-Aldo-2,Planificado
2026-W44-TV-1,5,Terra Viva,2026-10-28,mié,12:30,Producción B2B,One-pager para hoteles: cartelera piloto de 3 shows por trimestre,Documento PDF,Comenta CARTELERA,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W44-TV-1,Planificado
2026-W44-Aldo-3,5,Aldo,2026-10-29,jue,08:00,Gestión,Hoteles de la misma región: competir o producir juntos,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W44-Aldo-3,Planificado
2026-W44-ON-2,5,Olmué Natura,2026-10-29,jue,12:30,Detrás de escena,"El salón armado a las 8:30, antes de que llegue el grupo",Foto + texto corto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W44-ON-2,Planificado
2026-W45-ON-1,6,Olmué Natura,2026-11-02,lun,12:30,Guías,Dietas especiales en grupos grandes: cómo lo resolvemos en cocina,Texto + foto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W45-ON-1,Planificado
2026-W45-Aldo-1,6,Aldo,2026-11-03,mar,08:00,Datos del mercado,Clubes de adulto mayor y centros de madres: un segmento que pocos lugares atienden bien,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W45-Aldo-1,Planificado
2026-W45-Aldo-2,6,Aldo,2026-11-04,mié,08:00,IA aplicada,"Lanzamiento newsletter ""Hospitalidad con IA desde Olmué"" #1",Newsletter,Suscribirse,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W45-Aldo-2,Planificado
2026-W45-TV-1,6,Terra Viva,2026-11-04,mié,12:30,Fiestas corporativas,"Checklist técnico para la fiesta de tu empresa: audio, escenario, horarios",Carrusel PDF,Comenta GUÍA,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W45-TV-1,Planificado
2026-W45-Aldo-3,6,Aldo,2026-11-05,jue,08:00,Del aula a la operación,Calidad de servicio medida en reseñas: lo que aprendimos de las últimas 50,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W45-Aldo-3,Planificado
2026-W45-ON-2,6,Olmué Natura,2026-11-05,jue,12:30,Caso,Testimonio de una jornada corporativa de octubre (con permiso del cliente),Foto + cita,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W45-ON-2,Planificado
2026-W46-ON-1,7,Olmué Natura,2026-11-09,lun,12:30,Oferta corporativa,"Jornada de planificación 2027: salón, coffee break y caminata cerca de La Campana",Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W46-ON-1,Planificado
2026-W46-Aldo-1,7,Aldo,2026-11-10,mar,08:00,Datos del mercado,Qué cambió este año en la forma de cotizar de empresas e instituciones,Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W46-Aldo-1,Planificado
2026-W46-Aldo-2,7,Aldo,2026-11-11,mié,08:00,Gestión,Por qué la V Región necesita contar sus propias historias (proyecto de podcast),Texto,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W46-Aldo-2,Planificado
2026-W46-TV-1,7,Terra Viva,2026-11-11,mié,12:30,Prueba social,Artistas que pasaron por Terra Viva en 2026,Carrusel de fotos,Link cartelera Passline,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W46-TV-1,Planificado
2026-W46-Aldo-3,7,Aldo,2026-11-12,jue,08:00,IA aplicada,El prompt que uso para responder cotizaciones en la mitad del tiempo,Carrusel PDF,Comenta PROMPT,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W46-Aldo-3,Planificado
2026-W46-ON-2,7,Olmué Natura,2026-11-12,jue,12:30,Detrás de escena,Recorrido de 45 segundos por el lodge,Video vertical,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W46-ON-2,Planificado
2026-W47-ON-1,8,Olmué Natura,2026-11-16,lun,12:30,Fechas,Enero y febrero: la temporada tranquila para planificar el año con el equipo,Texto + foto,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W47-ON-1,Planificado
2026-W47-Aldo-1,8,Aldo,2026-11-17,mar,08:00,Gestión,"8 semanas publicando en LinkedIn: qué funcionó, con datos",Texto + tabla,Pregunta abierta,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W47-Aldo-1,Planificado
2026-W47-Aldo-2,8,Aldo,2026-11-18,mié,08:00,IA aplicada,Tres automatizaciones que un hotel pequeño puede armar este verano,Carrusel PDF,Comenta FLUJO,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W47-Aldo-2,Planificado
2026-W47-TV-1,8,Terra Viva,2026-11-18,mié,12:30,Producción B2B,Cartelera verano 2027 para hoteles y resorts: abrimos conversaciones,Texto + foto,Mensaje directo,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W47-TV-1,Planificado
2026-W47-Aldo-3,8,Aldo,2026-11-19,jue,08:00,Datos del mercado,La encargada de bienestar decide dónde va la empresa: cómo trabajar con ella,Texto,CTA suave comercial,https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W47-Aldo-3,Planificado
2026-W47-ON-2,8,Olmué Natura,2026-11-19,jue,12:30,Caso,Jornada para 60 personas de principio a fin,Carrusel de fotos,Cotiza (link UTM),https://olmuenatura.cl/contacto?utm_source=linkedin&utm_medium=organic&utm_campaign=2026-W47-ON-2,Planificado
